Callsign,Longitude,Latitude,Altitude,Time
UAL950  ,-70.25,44.35,39000,2021-03-01T00:58:19
UAL950  ,-70.24,44.35,38975,2021-03-01T00:58:22
UAL950  ,-70.24,44.35,39000,2021-03-01T00:58:23
UAL950  ,-70.24,44.35,39000,2021-03-01T00:58:23
UAL950  ,-70.24,44.35,39000,2021-03-01T00:58:24
UAL950  ,-70.23,44.36,39000,2021-03-01T00:58:25
UAL950  ,-70.23,44.36,39000,2021-03-01T00:58:27
UAL950  ,-70.19,44.37,39000,2021-03-01T00:58:39
UAL950  ,-70.17,44.38,39000,2021-03-01T00:58:44
UAL950  ,-70.17,44.38,39000,2021-03-01T00:58:45
UAL950  ,-70.16,44.38,39000,2021-03-01T00:58:46
UAL950  ,-70.16,44.39,39000,2021-03-01T00:58:48
UAL950  ,-70.16,44.39,39000,2021-03-01T00:58:48
UAL950  ,-70.16,44.39,38975,2021-03-01T00:58:48
UAL950  ,-70.16,44.39,39000,2021-03-01T00:58:49
UAL950  ,-70.15,44.39,39000,2021-03-01T00:58:49
UAL950  ,-70.15,44.39,39000,2021-03-01T00:58:50
UAL950  ,-70.15,44.39,39000,2021-03-01T00:58:51
UAL950  ,-70.15,44.39,39000,2021-03-01T00:58:52
UAL950  ,-70.14,44.39,39000,2021-03-01T00:58:53
UAL950  ,-70.14,44.39,39000,2021-03-01T00:58:53
UAL950  ,-70.14,44.39,39000,2021-03-01T00:58:54
UAL950  ,-70.14,44.4,39000,2021-03-01T00:58:54
UAL950  ,-70.13,44.4,39000,2021-03-01T00:58:55
UAL950  ,-70.13,44.4,39000,2021-03-01T00:58:56
UAL950  ,-70.12,44.4,39000,2021-03-01T00:58:59
UAL950  ,-70.12,44.4,39000,2021-03-01T00:59:00
UAL950  ,-70.12,44.4,38975,2021-03-01T00:59:01
UAL950  ,-70.11,44.41,38975,2021-03-01T00:59:02
UAL950  ,-70.11,44.41,39000,2021-03-01T00:59:03
